2024-09-22 15:04:12,160 - INFO - Process: PID=5152, Name=svchost.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,164 - INFO - Process: PID=5192, Name=svchost.exe, User=None
2024-09-22 15:04:12,165 - INFO - Process: PID=5224, Name=msedgewebview2.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,169 - INFO - Process: PID=5244, Name=svchost.exe, User=None
2024-09-22 15:04:12,173 - INFO - Process: PID=5252, Name=OfficeClickToRun.exe, User=None
2024-09-22 15:04:12,173 - INFO - Process: PID=5260, Name=msedgewebview2.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,178 - INFO - Process: PID=5276, Name=SearchIndexer.exe, User=None
2024-09-22 15:04:12,183 - INFO - Process: PID=5336, Name=svchost.exe, User=None
2024-09-22 15:04:12,187 - INFO - Process: PID=5504, Name=dasHost.exe, User=None
2024-09-22 15:04:12,191 - INFO - Process: PID=5680, Name=svchost.exe, User=None
2024-09-22 15:04:12,195 - INFO - Process: PID=5752, Name=NvBroadcast.Container.exe, User=None
2024-09-22 15:04:12,199 - INFO - Process: PID=5804, Name=svchost.exe, User=None
2024-09-22 15:04:12,203 - INFO - Process: PID=5812, Name=svchost.exe, User=None
2024-09-22 15:04:12,207 - INFO - Process: PID=5908, Name=gamingservicesnet.exe, User=None
2024-09-22 15:04:12,211 - INFO - Process: PID=5916, Name=gamingservices.exe, User=None
2024-09-22 15:04:12,212 - INFO - Process: PID=6012, Name=chrome.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,212 - INFO - Process: PID=6216, Name=SDXHelper.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,216 - INFO - Process: PID=6308, Name=dasHost.exe, User=None
2024-09-22 15:04:12,222 - INFO - Process: PID=6332, Name=svchost.exe, User=None
2024-09-22 15:04:12,227 - INFO - Process: PID=6692, Name=SearchProtocolHost.exe, User=None
2024-09-22 15:04:12,231 - INFO - Process: PID=6704, Name=AggregatorHost.exe, User=None
2024-09-22 15:04:12,231 - INFO - Process: PID=6712, Name=RuntimeBroker.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,236 - INFO - Process: PID=6884, Name=rundll32.exe, User=None
2024-09-22 15:04:12,236 - INFO - Process: PID=6908, Name=msedgewebview2.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,236 - INFO - Process: PID=7216, Name=Code.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,237 - INFO - Process: PID=7288, Name=Code.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,237 - INFO - Process: PID=7624, Name=Code.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,237 - INFO - Process: PID=7708, Name=Spotify.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,241 - INFO - Process: PID=7752, Name=svchost.exe, User=None
2024-09-22 15:04:12,242 - INFO - Process: PID=7772, Name=svchost.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,242 - INFO - Process: PID=7800, Name=CompPkgSrv.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,247 - INFO - Process: PID=8028, Name=svchost.exe, User=None
2024-09-22 15:04:12,250 - INFO - Process: PID=8092, Name=svchost.exe, User=None
2024-09-22 15:04:12,251 - INFO - Process: PID=8136, Name=chrome.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,255 - INFO - Process: PID=8228, Name=dllhost.exe, User=None
2024-09-22 15:04:12,259 - INFO - Process: PID=8480, Name=Razer Synapse Service.exe, User=None
